iso,year,total_foreign_debt,total_debt_GDP,GDP_percapita
CAF,2008,0.9987,50.349,464.561422116684
CAF,2012,0.5775,23.005,565.833058388175
CAF,2017,0.7307,33.708,471.603227780125
CAN,2008,NA,NA,46594.4509535289
CAN,2012,NA,NA,52542.3466648232
CAN,2017,NA,NA,45069.9272544324
CCK,2008,NA,NA,NA
CCK,2012,NA,NA,NA
CCK,2017,NA,NA,NA
CEB,2008,NA,NA,14574.0743892114
CEB,2012,NA,NA,12998.6652692918
CEB,2017,NA,NA,14167.6491028513
CHE,2008,NA,NA,72487.8459296849
CHE,2012,NA,NA,83538.2300783858
CHE,2017,NA,NA,80333.4449447719
CHI,2008,NA,NA,NA
CHI,2012,NA,NA,NA
CHI,2017,NA,NA,NA
CHIN,2008,NA,NA,NA
CHIN,2012,NA,NA,NA
CHIN,2017,NA,NA,NA
CHL,2008,63.911,35.607,10751.479674217
CHL,2012,122.705432,45.953,15351.5513257697
CHL,2017,181.342409,65.3,15037.3501089968
CHN,2008,380.1648,8.257,3468.30446324747
CHN,2012,1138.2474,13.281,6316.91886335683
CHN,2017,1710.2351,14.178,8759.04157775098
CHN_Beij,2008,NA,NA,NA
CHN_Beij,2012,NA,NA,NA
CHN_Beij,2017,NA,NA,NA
CIV,2008,12.9676,53.579,1235.61348837435
CIV,2012,9.5436,35.622,1243.3445093295
CIV,2017,13.432901,35.296,1557.18294760465
CMR,2008,2.8355,10.746,1371.7467084914001
CMR,2012,3.8882,13.359,1354.62308705136
CMR,2017,9.633077,27.581,1421.58749243688
COD,2008,12.3063,62.189,327.563721822924
COD,2012,5.624,19.19,424.600386118337
COD,2017,5.1276,13.487,467.07423746454
COG,2008,5.3911,45.46,2956.26440700407
COG,2012,2.8374,20.744,3032.66732937043
COG,2017,4.4555,51.097,1702.571349341
COK,2008,NA,NA,NA
COK,2012,NA,NA,NA
COK,2017,NA,NA,NA
COL,2008,46.8355,19.351,5461.78072641311
COL,2012,79.3163,21.417,8042.52976902978
COL,2017,124.3639,39.886,6375.93206285311
COM,2008,0.2762,30.286,1387.59462639938
COM,2012,0.2523,24.835,1403.42851892157
COM,2017,0.1657,15.513,1312.36617372154
CPV,2008,0.6258,35.001,3721.2509487106
CPV,2012,1.2454,71.5,3467.47268444877
CPV,2017,1.7617,99.379,3295.34110553408
CRI,2008,8.8387,28.87,6859.07920150574
CRI,2012,14.3104,30.784,9913.21070795469
CRI,2017,25.6147,43.99,11752.5436017285
CSK,2008,NA,NA,NA
CSK,2012,NA,NA,NA
CSK,2017,NA,NA,NA
CSS,2008,NA,NA,10046.0805126222
CSS,2012,NA,NA,10007.3711480199
CSS,2017,NA,NA,9442.91279388821
CUB,2008,25.893891,39.4,5411.27141824963
CUB,2012,29.105784,39.8,6497.32111313561
CUB,2017,29.890515,30.9,8541.2106734664
CUW,2008,NA,NA,NA
CUW,2012,NA,NA,20587.397358013
CUW,2017,NA,NA,19457.5315232205
CXR,2008,NA,NA,NA
CXR,2012,NA,NA,NA
CXR,2017,NA,NA,NA
CYM,2008,NA,NA,NA
CYM,2012,NA,NA,NA
CYM,2017,NA,NA,56334.2139924148
CYP,2008,NA,NA,35391.0400578939
CYP,2012,NA,NA,28984.9445491789
CYP,2017,NA,NA,25760.7627043417
CZE,2008,94.59648,40.2,22698.8539572605
CZE,2012,124.098786,59.9,19729.8705111763
CZE,2017,204.932131,94.8,20379.8960396417
DDR,2008,NA,NA,NA
DDR,2012,NA,NA,NA
DDR,2017,NA,NA,NA
DEU,2008,NA,NA,45699.1983232962
DEU,2012,NA,NA,44065.2489082767
DEU,2017,NA,NA,44681.0825806359
DJI,2008,0.8464,84.7,1223.85686092098
DJI,2012,0.8117,60,1559.24065068226
DJI,2017,2.0572,111.5,1953.9035019746
DMA,2008,0.2604,56.833,6469.14573799801
DMA,2012,0.3049,62.751,6848.41806733105
DMA,2017,0.2955,53.017,6951.30354219987
DNK,2008,NA,NA,64322.0666441526
DNK,2012,NA,NA,58507.5002096272
DNK,2017,NA,NA,57218.851961927
DOM,2008,10.6094,22.047,5105.58092460566
DOM,2012,22.1016,36.422,6107.97743134333
DOM,2017,29.7722,37.216,7222.55404357246
DZA,2008,6.2464,3.656,4923.63081802984
DZA,2012,5.5156,2.641,5592.22190972612
DZA,2017,5.6992,3.343,4048.28525822561
EAP,2008,NA,NA,3089.50361916245
EAP,2012,NA,NA,5375.71557321558
EAP,2017,NA,NA,7081.77637859757
EAR,2008,NA,NA,2590.75284200055
EAR,2012,NA,NA,3354.50324262499
EAR,2017,NA,NA,3545.02222103627
EAS,2008,NA,NA,6476.84133415231
EAS,2012,NA,NA,9392.8954260587
EAS,2017,NA,NA,10332.8322621933
ECA,2008,NA,NA,8381.80478223575
ECA,2012,NA,NA,10063.0267929943
ECA,2017,NA,NA,7979.76034048572
ECS,2008,NA,NA,26399.3901587557
ECS,2012,NA,NA,25011.1243788226
ECS,2017,NA,NA,23512.0943586459
ECU,2008,19.0501,30.844,4249.01926210976
ECU,2012,16.4004,18.653,5682.04500655353
ECU,2017,39.5363,37.908,6213.50127649921
EGY,2008,33.9117,18.285,2044.52785549853
EGY,2012,40.0294,14.632,3232.64889178794
EGY,2017,82.8859,37.372,2440.51017311107
EMU,2008,NA,NA,42255.3105366469
EMU,2012,NA,NA,37635.4904065066
EMU,2017,NA,NA,37034.08536758
ERI,2008,0.9975,72.273,450.63284030614
ERI,2012,0.9937,30.9,NA
ERI,2017,0.8189,14.3,NA
ESH,2008,NA,NA,NA
ESH,2012,NA,NA,NA
ESH,2017,NA,NA,NA
ESP,2008,NA,NA,35579.3099338804
ESP,2012,NA,NA,28563.8590381915
ESP,2017,NA,NA,28208.2610532181
EST,2008,NA,NA,18094.5480527831
EST,2012,NA,NA,17421.8902227378
EST,2017,NA,NA,20200.3755920409
ETH,2008,2.8465,10.921,326.436826698931
ETH,2012,10.4639,24.79,467.077927241718
ETH,2017,26.562,34.593,768.010416339934
EUU,2008,NA,NA,38198.6029353717
EUU,2012,NA,NA,34284.5430832961
EUU,2017,NA,NA,33864.166064228
FCS,2008,NA,NA,1424.7709745726
FCS,2012,NA,NA,1812.54833741091
FCS,2017,NA,NA,1645.14445725453
FIN,2008,NA,NA,53401.3148725198
FIN,2012,NA,NA,47415.5598711351
FIN,2017,NA,NA,45804.6542078846
FJI,2008,0.4158,11.802,4167.67028471654
FJI,2012,0.7854,19.773,4591.55578402956
FJI,2017,0.8996,17.774,6006.36062164463
FLK,2008,NA,NA,NA
FLK,2012,NA,NA,NA
FLK,2017,NA,NA,NA
FRA,2008,NA,NA,45334.1144358246
FRA,2012,NA,NA,40874.7035053457
FRA,2017,NA,NA,38679.1271482419
FRO,2008,NA,NA,50866.0810982214
FRO,2012,NA,NA,49459.7172338372
FRO,2017,NA,NA,NA
FSM,2008,NA,NA,2538.73849511797
FSM,2012,NA,NA,3120.66962662431
FSM,2017,NA,NA,3018.39689930827
GAB,2008,2.1529,13.882,10212.8194320542
GAB,2012,2.8697,16.712,9814.03899241886
GAB,2017,6.1656,41.066,7212.53574430676
GBR,2008,NA,NA,46985.567971811
GBR,2012,NA,NA,42018.7254635533
GBR,2017,NA,NA,39932.0602923845
GEO,2008,7.7215,60.329,3324.73587905411
GEO,2012,12.1247,76.511,4249.67016528326
GEO,2017,15.7563,104.482,4045.41704955757
GHA,2008,5.4617000000000004,18.77,1210.62225723084
GHA,2012,12.8332,30.849,1613.28683693408
GHA,2017,21.369246,36.201,2025.88585736016
GIB,2008,NA,NA,NA
GIB,2012,NA,NA,NA
GIB,2017,NA,NA,NA
GIN,2008,3.4118,48.991,715.096820410967
GIN,2012,1.3808,18.078,717.050737885779
GIN,2017,1.4893,13.782,821.651460927645
GLP,2008,NA,NA,NA
GLP,2012,NA,NA,NA
GLP,2017,NA,NA,NA
GMB,2008,0.4009,24.855,571.709970908967
GMB,2012,0.5487,38.559,477.701260376468
GMB,2017,0.65,43.64,672.780534143022
GNB,2008,NA,NA,597.576392658105
GNB,2012,NA,NA,616.411686249548
GNB,2017,NA,NA,736.725566231783
